"Date","Renewable.Energy"
2008-06-01,675.46
2008-07-01,646.244
2008-08-01,599.201
2008-09-01,531.925
2008-10-01,552.128
2008-11-01,551.737
2008-12-01,614.75
2009-01-01,626.672
2009-02-01,545.223
2009-03-01,625.284
2009-04-01,651.263
2009-05-01,693.147
2009-06-01,685.792
2009-07-01,645.637
2009-08-01,618.027
2009-09-01,570.906
2009-10-01,628.228
2009-11-01,642.567
2009-12-01,692.188
2010-01-01,684.564
2010-02-01,622.652
2010-03-01,696.585
2010-04-01,675.623
2010-05-01,732.65
2010-06-01,768.894
2010-07-01,717.52
2010-08-01,677.96
2010-09-01,641.005
2010-10-01,661.275
2010-11-01,695.959
2010-12-01,739.075
2011-01-01,755.847
2011-02-01,718.372
2011-03-01,827.115
2011-04-01,824.509
2011-05-01,845.59
2011-06-01,837.331
2011-07-01,805.582
2011-08-01,755.593
2011-09-01,689.463
2011-10-01,719.976
2011-11-01,747.922
2011-12-01,780.363
2012-01-01,773.686
2012-02-01,695.769
2012-03-01,797.381
2012-04-01,770.699
2012-05-01,812.936
2012-06-01,779.418
2012-07-01,750.908
2012-08-01,720.315
2012-09-01,651.074
2012-10-01,683.416
2012-11-01,687.577
2012-12-01,769.695
2013-01-01,797.909
2013-02-01,711.921
2013-03-01,779.308
2013-04-01,828.314
2013-05-01,869.377
2013-06-01,833.354
2013-07-01,825.361
2013-08-01,752.856
2013-09-01,707.784
2013-10-01,750.915
2013-11-01,769.349
2013-12-01,806.275
2014-01-01,831.339
2014-02-01,714.633
2014-03-01,866.713
2014-04-01,874.26
2014-05-01,871.439
2014-06-01,869.655
2014-07-01,836.69
2014-08-01,768.631
2014-09-01,723.813
2014-10-01,774.331
2014-11-01,819.067
2014-12-01,838.199
2015-01-01,831.203
2015-02-01,773.195
2015-03-01,839.624
2015-04-01,836.058
2015-05-01,829.345
2015-06-01,794.427
2015-07-01,820.461
2015-08-01,794.255
2015-09-01,744.6
2015-10-01,777.098
2015-11-01,828.949
2015-12-01,884.658
2016-01-01,876.979
2016-02-01,865.518
2016-03-01,944.085
2016-04-01,894.299
2016-05-01,904.902
2016-06-01,861.625
2016-07-01,873.028
2016-08-01,825.493
2016-09-01,791.043
2016-10-01,838.23
2016-11-01,839.051
2016-12-01,945.113
2017-01-01,929.663
2017-02-01,876.888
2017-03-01,1029.211
2017-04-01,1000.658
2017-05-01,1038.024
2017-06-01,992.546
2017-07-01,927.082
2017-08-01,872.462
2017-09-01,847.508
2017-10-01,902.819
2017-11-01,894.114
2017-12-01,925.651
2018-01-01,974.596
2018-02-01,920.825
2018-03-01,1014.901
2018-04-01,1022.044
2018-05-01,1052.396
2018-06-01,1031.565
2018-07-01,946.558
2018-08-01,951.261
2018-09-01,870.109
2018-10-01,907.085
2018-11-01,911.077
2018-12-01,949.759
2019-01-01,949.921
2019-02-01,880.451
2019-03-01,997.161
2019-04-01,1037.089
2019-05-01,1071.009
2019-06-01,1007.147
2019-07-01,995.467
2019-08-01,949.779
2019-09-01,909.946
2019-10-01,938.857
2019-11-01,909.319
2019-12-01,948.992
2020-01-01,979.445
2020-02-01,983.569
2020-03-01,993.709
2020-04-01,922.759
2020-05-01,1020.882
2020-06-01,1037.679
2020-07-01,993.568
2020-08-01,953.474
2020-09-01,883.11
2020-10-01,937.063
2020-11-01,979.21
2020-12-01,982.997
2021-01-01,1002.052
2021-02-01,879.302
2021-03-01,1092.268
2021-04-01,1036.825
2021-05-01,1096.106
2021-06-01,1031.691
2021-07-01,986.802
2021-08-01,1003.261
2021-09-01,964.228
